Variable,Category,Subcategory,Mean,Lower_CI,Upper_CI
LBXWBCSI,Anemia_code,0,7.623445368951172,7.590326651131633,7.656564086770711
LBXWBCSI,Anemia_code,1,7.133005211349161,7.028164480074927,7.237845942623395
LBXWBCSI,ID_status,ID,7.460235798499465,7.377082274992998,7.543389322005932
LBXWBCSI,ID_status,Non-ID,7.600755989765062,7.566552901033783,7.634959078496341
LBXWBCSI,IDA_Status,0,7.601984628342809,7.569493845224844,7.634475411460773
LBXWBCSI,IDA_Status,1,7.183683683683683,7.046750245425822,7.320617121941544
LBXLYPCT,Anemia_code,0,35.663312896868845,35.49214996403568,35.83447582970201
LBXLYPCT,Anemia_code,1,33.20138969310944,32.717977875088714,33.68480151113017
LBXLYPCT,ID_status,ID,33.71053947838514,33.281446166991046,34.13963278977923
LBXLYPCT,ID_status,Non-ID,35.73391486392185,35.559161419210476,35.90866830863322
LBXLYPCT,IDA_Status,0,35.61582438408086,35.448453123287756,35.78319564487396
LBXLYPCT,IDA_Status,1,32.310310310310314,31.707831134007915,32.91278948661271
LBXMOPCT,Anemia_code,0,7.677266257937376,7.644883059122585,7.7096494567521665
LBXMOPCT,Anemia_code,1,7.981702374059061,7.871141346412149,8.092263401705972
LBXMOPCT,ID_status,ID,7.809324758842443,7.72462263882158,7.894026878863307
LBXMOPCT,ID_status,Non-ID,7.686345661781809,7.652907218604277,7.719784104959341
LBXMOPCT,IDA_Status,0,7.692282585807539,7.660317498239018,7.72424767337606
LBXMOPCT,IDA_Status,1,7.918018018018018,7.783381150676179,8.052654885359857
LBXNEPCT,Anemia_code,0,53.2732866214145,53.08611538307726,53.46045785975174
LBXNEPCT,Anemia_code,1,55.571858714533874,55.04001014215617,56.10370728691158
LBXNEPCT,ID_status,ID,55.23997856377278,54.770407900661525,55.709549226884036
LBXNEPCT,ID_status,Non-ID,53.18401372412189,52.99289909490794,53.37512835333584
LBXNEPCT,IDA_Status,0,53.31340282164666,53.13038784588325,53.496417797410075
LBXNEPCT,IDA_Status,1,56.48408408408408,55.8172464566695,57.15092171149866
LBXEOPCT,Anemia_code,0,2.7519816071819574,2.71978316249318,2.784180051870735
LBXEOPCT,Anemia_code,1,2.5549507817023738,2.4492354357407446,2.660666127664003
LBXEOPCT,ID_status,ID,2.5773490532332977,2.49858271610584,2.6561153903607555
LBXEOPCT,ID_status,Non-ID,2.7606187485461735,2.727180488548623,2.794057008543724
LBXEOPCT,IDA_Status,0,2.74439882080438,2.712818544820844,2.775979096787916
LBXEOPCT,IDA_Status,1,2.5555555555555554,2.4156321575204656,2.695478953590645
LBXBAPCT,Anemia_code,0,0.7030928399386907,0.6961506688247322,0.7100350110526491
LBXBAPCT,Anemia_code,1,0.7698320787492762,0.7357939418353058,0.8038702156632466
LBXBAPCT,ID_status,ID,0.7316184351554126,0.7121056845787561,0.751131185732069
LBXBAPCT,ID_status,Non-ID,0.7051523610141893,0.6976653970708061,0.7126393249575725
LBXBAPCT,IDA_Status,0,0.7036586649821015,0.6966170437369823,0.7107002862272207
LBXBAPCT,IDA_Status,1,0.8077077077077077,0.7672503258509021,0.8481650895645133
LBDLYMNO,Anemia_code,0,2.6646321436391505,2.6476873748556145,2.6815769124226865
LBDLYMNO,Anemia_code,1,2.2955993051534453,2.252788469687136,2.3384101406197546
LBDLYMNO,ID_status,ID,2.4613790639514113,2.4191459076193924,2.50361222028343
LBDLYMNO,ID_status,Non-ID,2.6606536403814838,2.6434250344310932,2.6778822463318743
LBDLYMNO,IDA_Status,0,2.653153295430617,2.636618212384155,2.669688378477079
LBDLYMNO,IDA_Status,1,2.244944944944945,2.191561337988735,2.2983285519011547
LBDMONO,Anemia_code,0,0.5712064812787387,0.568193542064922,0.5742194204925555
LBDMONO,Anemia_code,1,0.5546033584250144,0.5447929676314034,0.5644137492186254
LBDMONO,ID_status,ID,0.567309753483387,0.559821480022095,0.574798026944679
LBDMONO,ID_status,Non-ID,0.5701732961153757,0.5670531410050571,0.5732934512256943
LBDMONO,IDA_Status,0,0.5705464308275426,0.5675842163979405,0.5735086452571447
LBDMONO,IDA_Status,1,0.555055055055055,0.5427571590470565,0.5673529510630536
LBDNENO,Anemia_code,0,4.134650755419313,4.107997407620805,4.16130410321782
LBDNENO,Anemia_code,1,4.059583092067168,3.9753384720272846,4.1438277121070515
LBDNENO,ID_status,ID,4.196212933190425,4.127459393065027,4.264966473315824
LBDNENO,ID_status,Non-ID,4.117091183996278,4.089741566130378,4.144440801862178
LBDNENO,IDA_Status,0,4.126737207833228,4.100621452486074,4.152852963180383
LBDNENO,IDA_Status,1,4.155355355355355,4.044957689596042,4.265753021114668
LBDEONO,Anemia_code,0,0.20683709218305232,0.2041481894614208,0.20952599490468385
LBDEONO,Anemia_code,1,0.17498552403011,0.167481069378609,0.18248997868161101
